uin,uin_status,cr_by,cr_dtimes,upd_by,upd_dtimes,is_deleted,del_dtimes
6793174591,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.019528,NULL,NULL,False,NULL
5896712754,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.022215,NULL,NULL,False,NULL
6356430251,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.024927,NULL,NULL,False,NULL
4652498437,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.027687,NULL,NULL,False,NULL
8348164978,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.031113,NULL,NULL,False,NULL
5845236703,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.033724,NULL,NULL,False,NULL
9241328068,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.036417,NULL,NULL,False,NULL
3185967293,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.039102,NULL,NULL,False,NULL
9638706856,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.042014,NULL,NULL,False,NULL
4593271564,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.045222,NULL,NULL,False,NULL
5704503591,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.048357,NULL,NULL,False,NULL
2519570496,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.051111,NULL,NULL,False,NULL
3509308651,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.053565,NULL,NULL,False,NULL
7254179615,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.056185,NULL,NULL,False,NULL
2819587938,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.059173,NULL,NULL,False,NULL
6472962067,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.062161,NULL,NULL,False,NULL
6296305184,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.06496,NULL,NULL,False,NULL
4920560183,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.06769,NULL,NULL,False,NULL
8134872410,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.070276,NULL,NULL,False,NULL
6157827568,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.073311,NULL,NULL,False,NULL
5813406579,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.075893,NULL,NULL,False,NULL
4639705415,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.078768,NULL,NULL,False,NULL
6318025629,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.081966,NULL,NULL,False,NULL
7081459764,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.084884,NULL,NULL,False,NULL
2697107253,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.087876,NULL,NULL,False,NULL
3861298530,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.090618,NULL,NULL,False,NULL
3415380182,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.093484,NULL,NULL,False,NULL
9749326517,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.096255,NULL,NULL,False,NULL
3263075942,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.099138,NULL,NULL,False,NULL
5423980913,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.101754,NULL,NULL,False,NULL
5398027032,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.104746,NULL,NULL,False,NULL
2506457941,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.107591,NULL,NULL,False,NULL
4796187025,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.110492,NULL,NULL,False,NULL
6153752192,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.113043,NULL,NULL,False,NULL
4960734132,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.115747,NULL,NULL,False,NULL
7460958356,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.118337,NULL,NULL,False,NULL
9751896495,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.12112,NULL,NULL,False,NULL
4360463193,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.123838,NULL,NULL,False,NULL
8032594816,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.126701,NULL,NULL,False,NULL
7493052042,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.129595,NULL,NULL,False,NULL
9850738410,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.132358,NULL,NULL,False,NULL
3625701931,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.135336,NULL,NULL,False,NULL
2956497250,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.138404,NULL,NULL,False,NULL
7810790312,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.142571,NULL,NULL,False,NULL
6176312891,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.146999,NULL,NULL,False,NULL
5897301620,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.151577,NULL,NULL,False,NULL
3950976298,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.156526,NULL,NULL,False,NULL
3295046759,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.159845,NULL,NULL,False,NULL
9564925417,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.164258,NULL,NULL,False,NULL
5408167130,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.167281,NULL,NULL,False,NULL
9367408514,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.169909,NULL,NULL,False,NULL
2013974614,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.172768,NULL,NULL,False,NULL
6903570947,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.175695,NULL,NULL,False,NULL
3758301640,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.179226,NULL,NULL,False,NULL
3714670563,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.182468,NULL,NULL,False,NULL
9438106476,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.185311,NULL,NULL,False,NULL
9149810617,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.1885,NULL,NULL,False,NULL
2947831023,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.191295,NULL,NULL,False,NULL
9145269081,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.194592,NULL,NULL,False,NULL
5634173514,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.197201,NULL,NULL,False,NULL
4120857137,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.200005,NULL,NULL,False,NULL
2851958603,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.202639,NULL,NULL,False,NULL
6035874630,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.205551,NULL,NULL,False,NULL
3895349720,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.208295,NULL,NULL,False,NULL
2940532793,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.211232,NULL,NULL,False,NULL
5687536508,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.213933,NULL,NULL,False,NULL
6057418934,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.216889,NULL,NULL,False,NULL
8560924087,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.219595,NULL,NULL,False,NULL
9108407152,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.222294,NULL,NULL,False,NULL
3579625124,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.224944,NULL,NULL,False,NULL
5801734208,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.227658,NULL,NULL,False,NULL
8926736201,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.230844,NULL,NULL,False,NULL
4530580638,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.233777,NULL,NULL,False,NULL
9609146305,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.236773,NULL,NULL,False,NULL
9706274296,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.239735,NULL,NULL,False,NULL
2076351609,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.243093,NULL,NULL,False,NULL
6152374658,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.246237,NULL,NULL,False,NULL
6937241271,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.248886,NULL,NULL,False,NULL
6327137435,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.252495,NULL,NULL,False,NULL
8539184516,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.255837,NULL,NULL,False,NULL
6295165719,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.259245,NULL,NULL,False,NULL
2974019465,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.262404,NULL,NULL,False,NULL
7180973954,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.272368,NULL,NULL,False,NULL
4591075647,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.275413,NULL,NULL,False,NULL
6879472304,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.278031,NULL,NULL,False,NULL
6053069218,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.280853,NULL,NULL,False,NULL
3689750287,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.283424,NULL,NULL,False,NULL
6983251203,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.286627,NULL,NULL,False,NULL
9583913472,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.28984,NULL,NULL,False,NULL
5892042195,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.292478,NULL,NULL,False,NULL
8794134958,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.295412,NULL,NULL,False,NULL
9736725780,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.298059,NULL,NULL,False,NULL
4573984065,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.300678,NULL,NULL,False,NULL
5924517587,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.303232,NULL,NULL,False,NULL
8014387931,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.315044,NULL,NULL,False,NULL
8074910875,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.318122,NULL,NULL,False,NULL
4893247827,UNUSED,defaultadmin@mosip.io,2021-05-12 08:43:24.321057,NULL,NULL,False,NULL
